Plot Name,Unique_treeID,treeID,HT.m.,DBH.m.,CBH.m.,CW.m.,Ht-DBH_ratio,CW-DBH_ratio,Ht-DBH_Quant,CW-DBH_Quant,flag,Segmentation_Attempt
BGT_MX_006_C,11,87,11.822,0.237128029,1.6273,4.973499857,49.85492463,20.97390124,0.468424479,0.71875,FALSE,0
BGT_MX_006_C,12,2,6.146,0.395375269,0.673,2.803990785,15.54472543,7.091973132,0.000325521,0,TRUE,1
BGT_MX_006_C,13,3,4.518,0.354768155,0.5636,2.592908525,12.73507765,7.308740904,0,0,TRUE,1
BGT_MX_006_C,14,4,2.513,0.593770774,0.6391,0.64363177,4.232272977,1.083973476,0,0,TRUE,1
BGT_MX_006_C,15,5,6.236,0.253156492,0.6742,2.113350406,24.63298475,8.348000051,0.011067708,0,TRUE,1
BGT_MX_006_C,16,6,4.224,0.406260878,0.6237,2.340070685,10.39726006,5.76001976,0,0,TRUE,1
BGT_MX_006_C,17,7,1.716,0.376707084,0.5728,1.652270014,4.555263423,4.386086922,0,0,TRUE,1
BGT_MX_006_C,18,8,6.136,0.281254785,0.6356,3.582331346,21.81651772,12.73696142,0.004231771,0.008463542,TRUE,1
BGT_MX_006_C,19,9,12.452,0.41793295,0.6559,4.285010787,29.79425288,10.25286661,0.0390625,0,TRUE,1
BGT_MX_006_C,20,10,11.812,0.528707676,1.4533,3.322064975,22.34126821,6.283368154,0.004557292,0,TRUE,1
BGT_MX_006_C,21,11,9.158,0.388545443,0.6588,3.09434014,23.56995856,7.963907935,0.005859375,0,TRUE,1
BGT_MX_006_C,22,12,2.318,0.339281371,0.6754,1.364331272,6.832087452,4.02123838,0,0,TRUE,1
BGT_MX_006_C,23,13,2.342,0.276416954,0.6834,3.964739364,8.472707497,14.34332918,0,0.103190104,TRUE,1
BGT_MX_006_C,24,14,7.922,0.461062881,0.65,4.033144112,17.18203812,8.747492536,0.000325521,0,TRUE,1
BGT_MX_006_C,25,15,9.184,0.481195327,1.1106,2.560871498,19.08580465,5.321896028,0.000976563,0,TRUE,1
BGT_MX_006_C,26,16,4.938,0.798381591,0.5938,1.27835898,6.185012351,1.601187947,0,0,TRUE,1
BGT_MX_006_C,27,17,8.238,0.221717105,0.8317,2.566957949,37.15545534,11.57762702,0.140950521,0.000325521,TRUE,1
BGT_MX_006_C,28,18,8.477,0.282967955,0.5653,4.501134482,29.9574558,15.90687004,0.039388021,0.298502604,TRUE,1
BGT_MX_006_C,29,19,7.471,0.242512022,0.676,2.486164761,30.80672013,10.25171757,0.045572917,0,TRUE,1
BGT_MX_006_C,30,20,7.968,0.597232077,0.71,3.375308307,13.3415473,5.651585772,0,0,TRUE,1
BGT_MX_006_C,31,21,10.841,0.245510228,0.819,3.504763948,44.15701972,14.27542946,0.310546875,0.093098958,TRUE,1
BGT_MX_006_C,32,22,6.354,0.413248692,0.597,3.720051264,15.37572924,9.001967419,0.000325521,0,TRUE,1
BGT_MX_006_C,33,23,6.666,0.187458607,1.4319,2.456125855,35.55985031,13.10223038,0.109049479,0.017252604,TRUE,1
BGT_MX_006_C,34,24,7.307,0.372871629,0.597,3.094182439,19.59655664,8.298251185,0.001953125,0,TRUE,1
BGT_MX_006_C,35,25,4.829,0.484670255,0.693,2.881885694,9.963475065,5.946075017,0,0,TRUE,1
BGT_MX_006_C,36,26,6.411,0.565051227,0.9509,3.417435699,11.34587396,6.048010403,0,0,TRUE,1
BGT_MX_006_C,37,27,8.209,0.24738673,1.2064,2.810487518,33.18286307,11.36070441,0.074869792,0.000325521,TRUE,1
BGT_MX_006_C,38,28,9.603,0.414218503,0.616,7.388772011,23.18341632,17.83786083,0.005859375,0.5234375,TRUE,1
BGT_MX_006_C,39,29,9.838,0.271944644,2.1325,3.437875235,36.17648004,12.64181997,0.118164063,0.006184896,TRUE,1
BGT_MX_006_C,40,30,10.483,0.377853232,0.952,3.995892073,27.74357637,10.57524915,0.024739583,0,TRUE,1
BGT_MX_006_C,41,31,2.448,0.259311877,0.57935,2.943404796,9.440369748,11.35082908,0,0.000325521,TRUE,1
BGT_MX_006_C,42,32,10.21,0.387931987,0.8634,4.0784218,26.31904651,10.51323928,0.017578125,0,TRUE,1
BGT_MX_008_C,1,1,15.567,0.437075295,2.459,7.34718887,35.61628894,16.80989283,0.110351563,0.41796875,FALSE,0
BGT_MX_008_C,2,2,15.071,0.302727328,1.6851,5.244964545,49.78407506,17.32570556,0.466145833,0.470703125,FALSE,0
BGT_MX_008_C,3,4,14.901,0.307174612,3.041,6.629117649,48.50986844,21.58094255,0.432942708,0.743164063,FALSE,0
BGT_MX_008_C,4,6,14.027,0.30236926,6.76,5.513782224,46.39029769,18.23526048,0.373046875,0.5625,FALSE,0
BGT_MX_008_C,5,15,12.629,0.339355584,0.639,6.83846535,37.21465211,20.15132702,0.142903646,0.685872396,FALSE,0
BGT_MX_008_C,6,1,15.323,0.516129913,0.638,9.121107176,29.68826187,17.67211501,0.038085938,0.508789063,TRUE,1
BGT_MX_008_C,7,2,18.312,0.433994209,2.887,5.441987425,42.19411142,12.53930886,0.254882813,0.005208333,TRUE,1
BGT_MX_008_C,8,3,10.758,0.174735822,2.08,6.552368555,61.56722686,37.49871364,0.753255208,0.956054688,TRUE,1
BGT_MX_008_C,9,4,1.468,0.322749371,0.8726,4.781533582,4.548420947,14.81500511,0,0.154947917,TRUE,1
CW_001_C,1,6,9.162,0.17139696,1.8415,3.097712901,53.45485708,18.07332464,0.57421875,0.545572917,FALSE,0
CW_001_C,2,28,11.984,0.217325588,2.6934,3.192584796,55.14306938,14.69033085,0.617513021,0.141601563,FALSE,0
CW_001_C,3,33,8.603,0.210053141,0.9921,4.119402263,40.95630264,19.61123861,0.224934896,0.654947917,FALSE,0
CW_001_C,4,8,9.818,0.21242866,1.362,4.264105757,46.21786918,20.07311897,0.3671875,0.681966146,FALSE,1
CW_001_C,5,11,10.205,0.222588429,1.4316,3.708607092,45.84694738,16.66127528,0.356770833,0.393880208,FALSE,1
CW_001_C,6,1,9.502,0.300772879,1.4466,1.568214043,31.59194413,5.213947636,0.055013021,0,TRUE,3
